airport,lat,long
ATL,33.6407326,-84.4298941
LAX,33.9415933,-118.410724
ORD,41.9741665,-87.9095154
DFW,32.8998136,-97.0425292
DEN,39.8561004,-104.6759316
JFK,40.6413151,-73.7803331
SFO,37.6213171,-122.3811494
SEA,47.4496607,-122.3113119
LAS,36.0840041,-115.1559329
MCO,28.4311624,-81.310277
EWR,40.6895354,-74.1766564
CLT,35.214407,-80.9495086
PHX,33.4372731,-112.0099821
IAH,29.9902245,-95.3389767
MIA,25.7958771,-80.2892449
BOS,42.3656171,-71.0117542
MSP,44.8847592,-93.2244786
FLL,26.0742392,-80.1527962
DTW,42.2161762,-83.3575782
PHL,39.8744,-75.2446169
LGA,40.7769311,-73.8761599
BWI,39.1828671,-76.672037
SLC,40.7899444,-111.9812646
SAN,32.7338051,-117.1954978
IAD,38.9531204,-77.4587328
DCA,38.8512462,-77.0424255
MDW,41.7867799,-87.7543824
TPA,27.9771571,-82.5333322
PDX,45.5897731,-122.5972882
HNL,21.3245182,-157.9272676
